area_sqft,bedrooms,bathrooms,balconies,location,age_years,parking,furnishing,floor,total_floors,distance_city_km,price_lakhs
1988,4,4,1.0,Bandra,9,0.0,Semi-Furnished,23,29,40.0,19.1
2884,3,3,2.0,Andheri,6,2.0,Unfurnished,20,22,,21.09
1892,2,1,2.0,Borivali,30,1.0,Semi-Furnished,11,25,20.1,10.0
2350,3,2,,Dadar,4,1.0,Unfurnished,18,18,36.7,16.12
2279,1,2,1.0,Nashik,26,1.0,Semi-Furnished,13,14,33.3,10.0
1368,2,1,1.0,Thane,6,1.0,Furnished,23,28,4.8,10.94
1406,2,2,0.0,Pune,20,0.0,Unfurnished,4,12,12.5,10.0
1933,5,5,0.0,Pune,2,2.0,Unfurnished,6,19,10.8,21.74
515,3,3,2.0,Andheri,12,2.0,Furnished,9,10,34.3,17.67
2868,3,4,0.0,Andheri,19,2.0,Semi-Furnished,7,15,,22.25
2612,1,1,2.0,Pune,22,1.0,Semi-Furnished,0,12,12.5,10.0
1502,2,3,2.0,Andheri,27,1.0,Semi-Furnished,7,9,21.0,10.46
1745,3,3,3.0,Borivali,25,1.0,Semi-Furnished,9,25,3.5,14.31
1583,2,2,2.0,Pune,16,0.0,Unfurnished,23,24,38.5,10.0
2745,4,4,0.0,Worli,9,1.0,Furnished,19,22,19.9,29.89
3135,3,3,0.0,Dadar,8,1.0,Furnished,0,4,8.0,21.22
791,2,2,1.0,Thane,30,1.0,Unfurnished,9,9,11.2,10.0
1888,3,3,3.0,Worli,18,1.0,Unfurnished,8,8,32.0,21.25
449,5,5,3.0,Worli,28,1.0,Semi-Furnished,17,22,25.5,31.6
2028,3,3,1.0,Pune,13,1.0,Semi-Furnished,7,27,18.9,10.83
1294,3,4,1.0,Thane,15,1.0,Semi-Furnished,9,13,13.6,13.66
1609,4,4,1.0,Borivali,25,2.0,Semi-Furnished,10,11,36.1,18.35
2044,2,3,1.0,Andheri,22,1.0,Semi-Furnished,15,18,31.0,11.36
1565,4,4,3.0,Andheri,6,0.0,Semi-Furnished,13,30,28.9,13.28
1819,1,1,1.0,Bandra,16,0.0,Unfurnished,9,12,18.1,10.0
3153,3,3,1.0,Worli,6,1.0,Unfurnished,4,10,39.3,19.47
3317,3,3,1.0,Borivali,23,1.0,Semi-Furnished,4,17,28.5,12.43
421,3,4,0.0,Dadar,0,1.0,Furnished,19,28,17.2,22.6
1760,3,3,1.0,Worli,25,0.0,Semi-Furnished,11,23,38.4,13.93
3449,3,3,2.0,Pune,28,0.0,Semi-Furnished,4,17,35.9,10.0
2310,2,2,0.0,Navi Mumbai,0,1.0,Furnished,15,23,29.7,10.75
1139,2,2,1.0,Andheri,19,1.0,Semi-Furnished,0,2,30.8,10.0
2537,2,1,1.0,Andheri,2,2.0,Semi-Furnished,14,23,17.2,15.73
921,3,3,0.0,Borivali,11,2.0,Unfurnished,1,4,20.5,16.21
478,2,2,,Pune,10,1.0,Semi-Furnished,12,13,8.1,10.0
2677,2,2,1.0,Navi Mumbai,16,1.0,Semi-Furnished,11,12,24.0,10.75
2254,4,4,0.0,Dadar,28,0.0,Furnished,10,22,15.1,16.61
3124,2,3,1.0,Borivali,14,1.0,Unfurnished,6,8,14.2,12.69
1641,2,2,2.0,Navi Mumbai,12,2.0,Semi-Furnished,1,8,38.0,11.69
3476,2,2,2.0,Navi Mumbai,2,1.0,Unfurnished,27,27,7.0,11.82
1917,2,2,3.0,Thane,27,2.0,Furnished,3,15,33.3,10.42
3057,3,3,1.0,Bandra,9,0.0,Unfurnished,20,23,11.6,18.68
761,2,2,2.0,Pune,14,0.0,Semi-Furnished,16,18,1.6,10.0
749,1,1,2.0,Andheri,2,1.0,Semi-Furnished,3,19,2.1,10.0
3218,5,5,1.0,Pune,8,2.0,Unfurnished,0,21,17.5,19.02
3403,4,4,1.0,Powai,17,1.0,Semi-Furnished,16,21,18.5,18.76
3793,3,3,1.0,Andheri,27,1.0,Unfurnished,25,28,13.1,15.7
1568,4,5,2.0,Bandra,10,0.0,Semi-Furnished,17,24,26.9,21.05
480,4,4,1.0,Thane,17,1.0,Furnished,0,10,19.7,13.09
3928,2,2,1.0,Thane,27,1.0,Semi-Furnished,4,6,3.4,10.18
2565,3,3,,Borivali,11,0.0,Furnished,10,26,14.2,11.02
1289,3,3,0.0,Navi Mumbai,9,1.0,Unfurnished,11,12,4.5,15.94
3150,2,2,3.0,Worli,1,1.0,Semi-Furnished,9,11,,25.34
3654,2,2,2.0,Borivali,28,1.0,Furnished,4,5,8.7,11.23
1425,2,2,2.0,Pune,3,0.0,Furnished,7,18,28.2,10.0
3171,3,3,2.0,Worli,6,0.0,Unfurnished,5,16,28.0,17.69
3235,3,2,1.0,Andheri,4,2.0,Semi-Furnished,22,26,34.5,17.2
2206,3,4,2.0,Bandra,21,1.0,Furnished,2,23,30.4,20.99
2677,2,2,2.0,Bandra,11,1.0,Furnished,2,22,21.7,16.36
1370,2,2,2.0,Dadar,21,1.0,Semi-Furnished,1,17,12.8,13.87
3745,3,3,1.0,Pune,18,1.0,Unfurnished,14,27,0.7,11.12
3940,3,4,0.0,Andheri,0,0.0,Unfurnished,2,30,26.1,12.91
3932,4,4,1.0,Navi Mumbai,9,1.0,Semi-Furnished,15,25,11.9,18.36
3054,4,4,1.0,Andheri,0,1.0,Semi-Furnished,2,12,10.4,20.89
552,4,4,1.0,Dadar,2,0.0,Unfurnished,9,10,39.0,16.46
1719,4,4,2.0,Pune,14,0.0,Unfurnished,1,2,7.4,11.3
2002,5,5,2.0,Pune,8,1.0,Semi-Furnished,2,30,1.8,18.18
3856,3,4,2.0,Thane,2,2.0,Semi-Furnished,16,23,38.0,13.96
2369,1,1,1.0,Borivali,12,1.0,Semi-Furnished,10,29,12.6,10.0
2330,1,1,1.0,Thane,14,0.0,Semi-Furnished,6,24,16.0,10.0
928,2,2,1.0,Bandra,30,2.0,Unfurnished,9,14,3.7,23.81
3258,2,3,1.0,Andheri,20,0.0,Furnished,6,6,16.5,10.0
1610,2,3,0.0,Nashik,12,0.0,Semi-Furnished,3,3,,10.0
730,5,5,1.0,Powai,14,2.0,Unfurnished,10,24,27.9,26.43
3956,2,2,1.0,Dadar,2,1.0,Semi-Furnished,9,10,19.2,15.38
1084,5,4,1.0,Thane,11,2.0,Semi-Furnished,2,12,12.6,22.07
458,3,3,0.0,Nashik,18,1.0,Semi-Furnished,22,26,15.0,10.0
680,3,4,,Worli,0,1.0,Semi-Furnished,15,15,24.6,29.22
2029,3,3,0.0,Dadar,28,0.0,Semi-Furnished,15,29,10.6,13.0
770,2,2,2.0,Pune,15,1.0,Semi-Furnished,9,17,6.5,10.0
3434,3,3,1.0,Thane,24,2.0,Unfurnished,15,26,28.0,14.52
2245,2,2,1.0,Bandra,8,2.0,Unfurnished,0,5,34.8,21.26
1566,4,5,,Powai,25,1.0,Unfurnished,12,13,36.1,16.92
411,2,2,3.0,Pune,11,1.0,Semi-Furnished,5,7,33.7,10.0
2127,2,2,1.0,Andheri,28,0.0,Semi-Furnished,3,3,21.5,10.0
944,3,3,2.0,Thane,16,1.0,Semi-Furnished,3,30,31.7,11.11
3921,3,4,1.0,Navi Mumbai,19,2.0,Unfurnished,14,17,37.1,14.97
1448,3,3,2.0,Andheri,6,0.0,Semi-Furnished,4,12,1.4,13.93
2110,3,4,2.0,Powai,30,,Unfurnished,10,12,16.8,16.65
467,2,2,1.0,Dadar,5,2.0,Semi-Furnished,8,8,8.6,23.61
871,3,3,2.0,Dadar,1,1.0,Semi-Furnished,5,5,39.9,15.78
1147,2,1,1.0,Pune,13,1.0,Unfurnished,26,28,37.2,10.0
586,2,2,2.0,Borivali,25,1.0,Unfurnished,0,5,32.2,10.0
3014,2,2,1.0,Navi Mumbai,28,0.0,Semi-Furnished,4,13,12.2,10.0
3804,2,2,0.0,Borivali,26,0.0,Semi-Furnished,2,6,38.1,10.0
3948,2,2,3.0,Bandra,17,0.0,Unfurnished,14,28,1.7,11.91
1357,3,3,2.0,Pune,28,0.0,Furnished,7,7,7.9,10.0
3240,2,2,1.0,Bandra,15,,Furnished,9,13,24.9,10.46
2215,2,1,3.0,Navi Mumbai,14,1.0,Furnished,13,23,31.8,10.0
565,3,3,1.0,Thane,5,0.0,Unfurnished,15,18,35.4,10.0
726,2,2,1.0,Andheri,24,2.0,Semi-Furnished,2,13,12.4,15.98
2372,3,4,2.0,Andheri,9,0.0,Unfurnished,12,18,15.9,12.63
1925,4,5,1.0,Navi Mumbai,6,1.0,Furnished,7,14,18.5,18.54
430,2,2,1.0,Andheri,11,2.0,Semi-Furnished,2,10,1.6,18.73
3749,4,4,2.0,Powai,18,0.0,Unfurnished,12,19,34.6,14.55
3029,1,1,0.0,Navi Mumbai,8,1.0,Unfurnished,10,12,13.8,10.0
2209,1,1,1.0,Thane,11,1.0,Furnished,24,29,8.4,10.0
3954,3,4,1.0,Borivali,10,1.0,Furnished,13,15,16.7,16.35
3897,3,3,2.0,Bandra,18,0.0,Semi-Furnished,19,23,28.6,14.89
3907,4,3,0.0,Nashik,22,1.0,Semi-Furnished,4,8,34.9,10.0
1332,1,1,1.0,Pune,20,1.0,Furnished,1,20,9.0,10.0
3572,3,3,2.0,Worli,4,1.0,Furnished,18,18,7.3,28.81
2216,2,3,0.0,Bandra,10,0.0,Furnished,10,23,37.8,10.07
3014,2,2,1.0,Pune,20,0.0,Semi-Furnished,10,15,22.3,10.0
3495,2,2,2.0,Navi Mumbai,6,1.0,Semi-Furnished,0,22,14.9,11.47
988,5,5,2.0,Powai,2,1.0,Furnished,3,3,8.4,28.75
2014,1,2,0.0,Navi Mumbai,9,0.0,Unfurnished,20,22,39.8,10.0
864,4,4,2.0,Pune,21,1.0,Semi-Furnished,22,23,28.9,11.25
1406,3,4,2.0,Thane,20,2.0,Unfurnished,2,16,9.1,15.7
1889,3,4,1.0,Thane,4,0.0,Semi-Furnished,2,2,4.1,13.21
3480,3,3,2.0,Navi Mumbai,20,0.0,Furnished,11,18,8.4,10.0
3506,4,5,2.0,Pune,6,1.0,Unfurnished,3,24,10.3,14.44
1803,2,2,2.0,Bandra,22,1.0,Semi-Furnished,9,15,4.9,17.78
1585,1,1,1.0,Worli,17,1.0,Unfurnished,2,4,9.6,13.47
2311,3,2,2.0,Powai,3,2.0,Furnished,8,13,5.1,24.7
3683,2,2,3.0,Andheri,10,0.0,Furnished,2,30,15.4,10.0
3916,2,2,1.0,Navi Mumbai,25,1.0,Semi-Furnished,5,9,19.7,10.0
1216,2,1,2.0,Andheri,13,1.0,Semi-Furnished,12,17,18.5,10.37
1071,2,1,2.0,Borivali,21,1.0,Unfurnished,9,12,33.3,10.0
2945,1,1,2.0,Thane,23,1.0,Furnished,17,22,10.5,10.0
1485,1,1,3.0,Borivali,0,1.0,Semi-Furnished,9,14,35.5,10.0
1119,4,4,0.0,Dadar,28,1.0,Unfurnished,9,13,36.4,17.2
511,2,2,0.0,Dadar,10,1.0,Furnished,1,18,38.4,12.4
1851,5,5,1.0,Andheri,24,,Unfurnished,15,18,7.6,19.28
1811,5,5,1.0,Powai,14,1.0,Semi-Furnished,6,16,10.2,26.54
2427,2,2,1.0,Andheri,17,,Unfurnished,5,9,25.1,10.65
1120,3,3,2.0,Bandra,11,1.0,Semi-Furnished,3,5,6.1,24.43
2972,3,3,3.0,Navi Mumbai,26,0.0,Unfurnished,22,22,3.9,10.88
2848,3,3,1.0,Pune,3,2.0,Unfurnished,3,11,3.4,15.07
2064,1,1,2.0,Worli,27,2.0,Semi-Furnished,7,19,,16.89
1052,2,2,0.0,Worli,6,1.0,Furnished,9,12,32.3,16.7
2225,1,1,1.0,Thane,27,2.0,Unfurnished,17,26,10.7,10.0
2830,3,3,0.0,Nashik,0,0.0,Semi-Furnished,7,22,37.4,10.0
1742,5,5,1.0,Thane,0,1.0,Semi-Furnished,4,13,31.8,18.18
1348,3,3,1.0,Navi Mumbai,2,1.0,Furnished,9,11,3.6,16.9
2223,3,4,2.0,Thane,16,2.0,Unfurnished,20,23,16.6,16.62
1679,5,4,2.0,Powai,8,0.0,Semi-Furnished,0,2,3.2,22.22
1842,3,3,1.0,Andheri,18,0.0,Furnished,1,3,36.7,10.0
1656,1,1,0.0,Bandra,25,1.0,Unfurnished,3,4,29.8,10.0
1492,4,4,0.0,Pune,0,0.0,Semi-Furnished,1,12,27.6,10.93
2981,2,1,3.0,Nashik,16,1.0,Furnished,3,16,27.5,10.0
2057,1,1,3.0,Powai,22,0.0,Unfurnished,1,10,11.8,10.0
2079,3,3,1.0,Dadar,13,1.0,Semi-Furnished,4,7,37.4,16.12
2751,4,4,1.0,Powai,28,2.0,Unfurnished,5,11,36.9,20.11
1701,2,2,1.0,Powai,20,1.0,Furnished,5,16,29.7,11.47
763,3,2,2.0,Navi Mumbai,1,0.0,Furnished,1,10,19.0,10.0
3470,2,2,1.0,Thane,16,0.0,Semi-Furnished,12,18,2.4,10.0
600,1,1,0.0,Worli,11,0.0,Semi-Furnished,11,13,1.6,10.0
2459,1,2,1.0,Borivali,4,0.0,Semi-Furnished,6,29,6.0,10.0
1357,3,2,1.0,Pune,29,1.0,Unfurnished,20,30,,10.0
1170,4,4,1.0,Bandra,6,1.0,Unfurnished,17,21,32.0,26.48
551,2,3,0.0,Dadar,2,0.0,Unfurnished,10,18,38.0,10.0
3641,2,2,2.0,Thane,6,0.0,Unfurnished,1,2,7.4,10.0
1945,2,2,1.0,Powai,25,2.0,Semi-Furnished,3,20,11.4,16.37
1633,1,1,1.0,Andheri,18,0.0,Unfurnished,13,13,2.6,10.0
3069,3,3,1.0,Andheri,25,1.0,Unfurnished,10,10,39.6,12.22
540,3,3,1.0,Worli,14,1.0,Semi-Furnished,18,25,31.3,21.35
2432,3,4,2.0,Andheri,3,0.0,Unfurnished,3,3,19.5,13.4
2181,2,3,3.0,Andheri,12,2.0,Unfurnished,6,9,23.2,16.1
2392,3,3,0.0,Borivali,6,0.0,Unfurnished,16,24,22.7,11.18
846,1,1,2.0,Powai,17,1.0,Unfurnished,24,28,10.5,10.0
3830,2,2,2.0,Andheri,8,1.0,Semi-Furnished,0,16,7.8,13.72
1258,4,4,2.0,Thane,30,1.0,Furnished,3,17,12.2,14.05
2843,3,3,1.0,Worli,11,1.0,Furnished,6,30,10.3,25.43
3090,4,4,1.0,Nashik,9,1.0,Furnished,3,4,22.5,10.0
1638,4,4,0.0,Navi Mumbai,30,1.0,Semi-Furnished,3,15,12.7,15.09
870,3,3,3.0,Andheri,16,1.0,Furnished,3,9,29.3,12.95
1468,4,4,2.0,Bandra,5,1.0,Semi-Furnished,7,15,22.9,25.81
3305,2,1,1.0,Andheri,14,1.0,Semi-Furnished,21,28,21.5,10.93
3664,1,1,1.0,Andheri,7,1.0,Semi-Furnished,10,19,38.1,10.0
3773,1,2,0.0,Borivali,22,0.0,Unfurnished,0,30,13.2,10.0
1214,2,1,0.0,Andheri,17,0.0,Unfurnished,11,16,25.6,10.0
2584,1,1,2.0,Navi Mumbai,22,1.0,Unfurnished,11,27,0.5,10.0
943,2,2,1.0,Dadar,29,0.0,Furnished,0,6,29.6,10.0
2958,3,3,2.0,Navi Mumbai,22,1.0,Unfurnished,7,11,20.4,11.58
1897,3,4,2.0,Andheri,10,0.0,Semi-Furnished,2,9,8.7,13.57
2969,3,4,2.0,Worli,6,1.0,Furnished,11,24,0.6,32.31
2867,2,2,2.0,Dadar,16,1.0,Semi-Furnished,16,16,28.4,13.15
3975,3,3,0.0,Dadar,13,1.0,Unfurnished,2,8,26.7,18.68
2159,2,2,2.0,Andheri,9,1.0,Semi-Furnished,7,7,26.8,10.99
1629,1,1,2.0,Andheri,25,0.0,Unfurnished,6,13,17.8,10.0
2296,2,2,1.0,Powai,28,0.0,Furnished,6,6,25.8,10.0
986,2,2,0.0,Pune,11,1.0,Semi-Furnished,19,22,23.1,10.0
802,2,2,1.0,Thane,21,1.0,Semi-Furnished,22,26,9.9,10.0
2269,4,4,0.0,Pune,30,1.0,Semi-Furnished,6,30,21.0,11.56
3372,3,2,,Borivali,0,1.0,Semi-Furnished,7,8,20.8,14.35
2320,3,3,0.0,Nashik,11,1.0,Semi-Furnished,5,14,33.0,10.0
3215,2,2,2.0,Thane,22,1.0,Unfurnished,15,16,17.6,10.0
1040,4,4,0.0,Powai,15,1.0,Unfurnished,16,16,17.7,20.31
2018,3,3,0.0,Bandra,24,1.0,Unfurnished,9,15,39.4,16.76
2607,2,1,1.0,Navi Mumbai,14,0.0,Semi-Furnished,8,8,35.8,10.0
1651,3,3,0.0,Borivali,1,0.0,Furnished,3,5,10.1,12.33
450,3,3,3.0,Andheri,13,1.0,Semi-Furnished,0,13,36.5,14.07
664,2,3,1.0,Andheri,12,1.0,Semi-Furnished,4,4,5.9,14.78
3740,2,3,1.0,Pune,26,1.0,Furnished,2,3,34.2,10.0
2579,3,3,0.0,Nashik,4,1.0,Unfurnished,0,17,7.7,10.0
1352,1,1,1.0,Borivali,4,0.0,Unfurnished,1,26,17.3,10.0
1332,2,2,2.0,Powai,4,1.0,Furnished,13,17,39.4,10.92
542,2,2,2.0,Worli,17,0.0,Furnished,2,2,4.3,13.04
3802,5,5,1.0,Pune,30,1.0,Semi-Furnished,18,26,33.7,12.92
789,2,2,2.0,Worli,19,0.0,Unfurnished,9,21,20.0,10.44
3134,2,2,1.0,Bandra,25,1.0,Furnished,3,10,4.9,15.81
1265,2,2,2.0,Andheri,26,1.0,Furnished,4,9,38.1,10.0
1608,4,4,,Worli,18,0.0,Semi-Furnished,9,28,22.2,20.63
1386,3,3,1.0,Worli,18,0.0,Unfurnished,4,15,35.3,14.27
3369,4,4,2.0,Andheri,7,0.0,Semi-Furnished,0,6,34.8,13.2
518,2,2,2.0,Navi Mumbai,29,1.0,Furnished,6,10,1.1,10.33
1668,2,2,1.0,Borivali,24,1.0,Furnished,2,9,11.0,10.77
1405,3,3,3.0,Powai,27,1.0,Semi-Furnished,2,13,13.8,16.0
1382,2,2,2.0,Borivali,30,0.0,Semi-Furnished,3,12,21.6,10.0
1094,4,4,0.0,Pune,10,1.0,Semi-Furnished,14,17,3.3,15.97
3685,4,4,2.0,Pune,4,0.0,Semi-Furnished,6,11,15.9,11.06
1763,3,4,2.0,Pune,26,2.0,Semi-Furnished,10,20,32.7,11.25
1905,5,5,1.0,Borivali,14,1.0,Unfurnished,10,16,7.3,21.97
1786,3,2,1.0,Powai,29,2.0,Unfurnished,16,29,28.2,16.84
3929,2,2,2.0,Pune,21,2.0,Furnished,13,26,18.7,10.0
1620,3,4,2.0,Andheri,7,1.0,Unfurnished,10,11,3.3,19.29
1630,1,1,1.0,Andheri,10,1.0,Unfurnished,2,3,7.5,10.0
1580,4,5,0.0,Dadar,18,1.0,Furnished,3,18,6.1,26.21
1577,2,2,1.0,Worli,12,2.0,Semi-Furnished,9,11,25.0,24.81
723,2,2,3.0,Andheri,8,1.0,Unfurnished,5,28,3.9,13.35
2575,3,3,2.0,Bandra,6,1.0,Unfurnished,1,13,33.0,21.31
490,1,1,0.0,Borivali,20,2.0,Furnished,4,10,32.4,10.0
1213,1,1,2.0,Andheri,1,1.0,Semi-Furnished,4,11,3.7,10.0
1127,3,3,2.0,Worli,2,2.0,Semi-Furnished,22,27,35.6,30.27
1449,1,1,1.0,Thane,1,0.0,Semi-Furnished,4,5,38.4,10.0
3124,3,4,0.0,Andheri,22,0.0,Unfurnished,1,29,2.2,12.31
2558,2,2,1.0,Powai,0,1.0,Semi-Furnished,4,8,38.0,12.23
3967,2,1,0.0,Andheri,13,1.0,Unfurnished,21,26,11.5,11.35
1664,2,2,1.0,Thane,3,1.0,Semi-Furnished,13,17,26.8,10.0
3743,3,4,2.0,Andheri,18,0.0,Unfurnished,9,18,7.4,12.49
561,5,5,3.0,Andheri,1,1.0,Unfurnished,4,7,32.8,22.41
2215,2,2,1.0,Bandra,0,0.0,Unfurnished,12,22,33.8,10.61
3276,5,5,2.0,Bandra,12,1.0,Furnished,4,20,39.1,29.24
2315,3,4,3.0,Andheri,21,2.0,Unfurnished,9,15,39.7,16.69
3760,3,4,0.0,Bandra,3,1.0,Unfurnished,10,15,3.5,28.11
1532,3,4,1.0,Borivali,15,1.0,Unfurnished,1,19,26.5,14.55
520,3,3,2.0,Borivali,25,0.0,Semi-Furnished,11,15,11.3,10.07
3186,4,4,2.0,Pune,19,0.0,Semi-Furnished,7,30,5.5,10.77
644,3,3,1.0,Thane,23,1.0,Furnished,0,3,6.4,11.11
3153,3,3,2.0,Navi Mumbai,9,1.0,Semi-Furnished,7,9,37.5,11.68
3041,2,2,2.0,Powai,29,0.0,Semi-Furnished,10,26,27.5,10.0
3440,2,2,2.0,Powai,4,2.0,Semi-Furnished,10,24,2.5,20.82
2124,3,4,2.0,Bandra,18,1.0,Unfurnished,8,12,39.4,18.76
3624,1,1,0.0,Andheri,13,1.0,Furnished,9,16,32.4,10.0
1011,2,3,0.0,Andheri,0,1.0,Furnished,1,2,12.7,13.35
1964,1,1,0.0,Andheri,29,2.0,Unfurnished,7,7,19.1,11.32
838,2,2,3.0,Navi Mumbai,21,0.0,Semi-Furnished,19,29,29.2,10.0
3161,3,3,3.0,Pune,7,0.0,Unfurnished,0,20,27.2,10.0
2972,3,3,2.0,Bandra,1,2.0,Semi-Furnished,0,3,18.8,25.03
3303,2,2,0.0,Pune,20,2.0,Furnished,11,24,20.7,10.0
3152,1,1,1.0,Navi Mumbai,16,1.0,Furnished,6,13,2.2,10.0
1510,2,2,0.0,Andheri,1,0.0,Unfurnished,6,18,20.3,10.0
645,2,2,1.0,Worli,30,1.0,Semi-Furnished,4,26,13.9,18.36
3746,3,3,1.0,Bandra,22,1.0,Semi-Furnished,2,26,11.8,20.94
2174,3,4,2.0,Powai,14,1.0,Unfurnished,0,5,11.2,18.5
739,3,3,0.0,Bandra,7,1.0,Semi-Furnished,12,12,26.1,20.7
3738,3,3,2.0,Powai,8,0.0,Semi-Furnished,3,9,17.5,13.41
3980,5,5,3.0,Powai,13,1.0,Furnished,27,28,17.3,28.0
2004,3,4,2.0,Nashik,1,1.0,Furnished,8,24,6.8,10.0
3173,3,3,0.0,Worli,11,1.0,Unfurnished,6,20,38.5,20.74
530,3,3,3.0,Worli,6,1.0,Unfurnished,1,3,9.3,25.58
735,1,1,2.0,Borivali,3,2.0,Unfurnished,24,25,16.5,11.83
1395,4,4,1.0,Worli,3,0.0,Unfurnished,10,18,8.0,29.42
2763,2,2,2.0,Andheri,10,1.0,Semi-Furnished,0,9,28.3,10.66
880,2,2,2.0,Navi Mumbai,11,1.0,Furnished,4,14,17.7,10.0
523,5,5,1.0,Navi Mumbai,10,1.0,Semi-Furnished,14,14,16.8,20.67
2808,3,2,1.0,Powai,21,2.0,Semi-Furnished,1,10,35.1,16.59
3173,1,1,1.0,Pune,16,1.0,Semi-Furnished,24,28,30.5,10.0
3061,1,2,0.0,Pune,5,1.0,Unfurnished,26,28,21.0,10.0
3278,1,1,2.0,Borivali,30,0.0,Furnished,0,3,19.0,10.0
3291,3,3,0.0,Thane,22,1.0,Semi-Furnished,16,29,38.4,10.71
2569,1,1,1.0,Andheri,14,0.0,Semi-Furnished,8,13,38.3,10.0
2270,4,4,1.0,Pune,1,0.0,Furnished,20,25,28.3,11.06
3485,4,4,1.0,Pune,28,1.0,Semi-Furnished,19,24,30.5,11.47
1653,3,3,1.0,Andheri,23,1.0,Unfurnished,1,19,36.0,12.58
752,3,3,2.0,Thane,14,2.0,Semi-Furnished,7,23,38.6,12.19
3107,2,2,1.0,Thane,5,1.0,Semi-Furnished,20,21,3.7,10.58
1393,1,1,0.0,Thane,3,1.0,Semi-Furnished,9,26,39.9,10.0
3924,3,2,2.0,Pune,8,1.0,Furnished,3,14,28.3,10.0
1891,2,3,3.0,Borivali,7,1.0,Semi-Furnished,15,23,23.9,11.37
3467,1,1,1.0,Thane,6,2.0,Semi-Furnished,6,30,16.8,10.58
552,2,2,1.0,Nashik,12,1.0,Furnished,4,29,13.8,10.0
2773,1,1,0.0,Powai,1,1.0,Semi-Furnished,5,6,32.3,10.0
2014,2,2,0.0,Pune,10,1.0,Semi-Furnished,2,16,26.4,10.0
2065,3,4,1.0,Thane,27,0.0,Unfurnished,15,16,8.4,10.0
1355,4,3,3.0,Navi Mumbai,26,1.0,Semi-Furnished,5,20,24.6,13.68
3897,3,3,2.0,Powai,0,0.0,Semi-Furnished,2,20,6.1,15.32
1814,4,4,1.0,Borivali,21,0.0,Unfurnished,20,26,20.1,13.44
3462,2,2,3.0,Worli,30,0.0,Semi-Furnished,3,17,23.5,10.0
1930,4,5,1.0,Navi Mumbai,17,0.0,Unfurnished,8,22,25.6,12.41
573,3,3,,Borivali,12,1.0,Unfurnished,10,28,6.2,16.49
3566,2,2,1.0,Thane,15,2.0,Semi-Furnished,2,4,4.3,12.66
1066,4,4,1.0,Dadar,6,1.0,Unfurnished,9,20,10.7,25.1
1373,2,2,2.0,Andheri,12,1.0,Semi-Furnished,2,12,,11.74
3500,1,1,1.0,Dadar,29,1.0,Semi-Furnished,6,28,37.3,10.0
3618,2,2,2.0,Powai,18,0.0,Unfurnished,3,18,31.3,10.0
3701,2,2,1.0,Andheri,13,0.0,Unfurnished,1,19,30.0,10.0
1933,2,2,3.0,Borivali,3,2.0,Semi-Furnished,15,23,13.5,15.03
3125,3,3,2.0,Bandra,28,1.0,Unfurnished,4,9,4.9,23.45
1580,4,4,1.0,Dadar,5,2.0,Semi-Furnished,1,17,35.7,23.23
